idPartido,temporada,division,jornada,EquipoLocal,EquipoVisitante,Fecha3,Hora,Goles_L,Goles_V
1,2007_1_C,1,1,Estudiantes Tecos,U.A.N.L.,1/19/2007,16:55,2,1
2,2007_1_C,1,1,Querétaro,Veracruz,1/20/2007,15:00,0,0
3,2007_1_C,1,1,Necaxa,Chiapas,1/20/2007,16:55,3,1
4,2007_1_C,1,1,Morelia,Atlante,1/20/2007,16:55,3,1
5,2007_1_C,1,1,Monterrey,Santos Laguna,1/20/2007,16:55,1,0
6,2007_1_C,1,1,Guadalajara,Toluca,1/20/2007,16:55,1,1
7,2007_1_C,1,1,Cruz Azul,Pachuca,1/20/2007,16:55,3,2
8,2007_1_C,1,1,U.N.A.M.,Atlas,1/21/2007,12:00,0,0
9,2007_1_C,1,1,Club América,Atlético San Luis,1/21/2007,16:00,4,1
10,2007_1_C,1,2,Chiapas,Querétaro,1/27/2007,15:00,2,0
11,2007_1_C,1,2,Atlético San Luis,Morelia,1/27/2007,15:00,1,2
12,2007_1_C,1,2,Veracruz,U.N.A.M.,1/27/2007,16:55,2,1
13,2007_1_C,1,2,U.A.N.L.,Club América,1/27/2007,16:55,1,0
14,2007_1_C,1,2,Pachuca,Monterrey,1/27/2007,16:55,4,0
15,2007_1_C,1,2,Atlas,Estudiantes Tecos,1/27/2007,16:55,4,1
16,2007_1_C,1,2,Atlante,Cruz Azul,1/27/2007,16:55,1,0
17,2007_1_C,1,2,Toluca,Necaxa,1/28/2007,12:00,1,1
18,2007_1_C,1,2,Santos Laguna,Guadalajara,1/28/2007,16:55,2,3
19,2007_1_C,1,3,Atlético San Luis,Atlante,2/3/2007,15:00,3,0
20,2007_1_C,1,3,Querétaro,Toluca,2/3/2007,16:55,0,0
21,2007_1_C,1,3,Necaxa,Santos Laguna,2/3/2007,16:55,1,0
22,2007_1_C,1,3,Morelia,U.A.N.L.,2/3/2007,16:55,0,0
23,2007_1_C,1,3,Monterrey,Cruz Azul,2/3/2007,16:55,1,2
24,2007_1_C,1,3,Guadalajara,Pachuca,2/3/2007,16:55,0,1
25,2007_1_C,1,3,U.N.A.M.,Chiapas,2/4/2007,12:00,2,0
26,2007_1_C,1,3,Club América,Atlas,2/4/2007,15:00,0,1
27,2007_1_C,1,3,Estudiantes Tecos,Veracruz,2/4/2007,16:00,3,0
28,2007_1_C,1,4,Chiapas,Estudiantes Tecos,2/10/2007,15:00,1,1
29,2007_1_C,1,4,Veracruz,Club América,2/10/2007,16:55,2,4
30,2007_1_C,1,4,U.A.N.L.,Atlético San Luis,2/10/2007,16:55,1,1
31,2007_1_C,1,4,Pachuca,Necaxa,2/10/2007,16:55,1,1
32,2007_1_C,1,4,Cruz Azul,Guadalajara,2/10/2007,16:55,1,2
33,2007_1_C,1,4,Atlas,Morelia,2/10/2007,16:55,2,0
34,2007_1_C,1,4,Atlante,Monterrey,2/10/2007,16:55,2,0
35,2007_1_C,1,4,Toluca,U.N.A.M.,2/11/2007,12:00,2,2
36,2007_1_C,1,4,Santos Laguna,Querétaro,2/11/2007,16:00,0,0
37,2007_1_C,1,5,U.N.A.M.,Santos Laguna,2/14/2007,16:55,2,1
38,2007_1_C,1,5,U.A.N.L.,Atlante,2/14/2007,16:55,1,0
39,2007_1_C,1,5,Querétaro,Pachuca,2/14/2007,16:55,0,0
40,2007_1_C,1,5,Necaxa,Cruz Azul,2/14/2007,16:55,0,2
41,2007_1_C,1,5,Morelia,Veracruz,2/14/2007,16:55,5,0
42,2007_1_C,1,5,Estudiantes Tecos,Toluca,2/14/2007,16:55,0,0
43,2007_1_C,1,5,Club América,Chiapas,2/14/2007,16:55,4,1
44,2007_1_C,1,5,Atlético San Luis,Atlas,2/14/2007,16:55,1,0
45,2007_1_C,1,6,Veracruz,Atlético San Luis,2/17/2007,15:00,2,1
46,2007_1_C,1,6,Chiapas,Morelia,2/17/2007,15:00,2,1
47,2007_1_C,1,6,Toluca,Club América,2/17/2007,16:55,2,2
48,2007_1_C,1,6,Pachuca,U.N.A.M.,2/17/2007,16:55,0,0
49,2007_1_C,1,6,Monterrey,Necaxa,2/17/2007,16:55,2,2
50,2007_1_C,1,6,Cruz Azul,Querétaro,2/17/2007,16:55,0,0
51,2007_1_C,1,6,Atlas,U.A.N.L.,2/17/2007,16:55,2,0
52,2007_1_C,1,6,Atlante,Guadalajara,2/17/2007,16:55,0,3
53,2007_1_C,1,6,Santos Laguna,Estudiantes Tecos,2/18/2007,16:00,1,1
54,2007_1_C,1,5,Guadalajara,Monterrey,2/21/2007,16:55,1,1
55,2007_1_C,1,7,U.A.N.L.,Veracruz,2/24/2007,16:55,1,0
56,2007_1_C,1,7,Querétaro,Monterrey,2/24/2007,16:55,2,1
57,2007_1_C,1,7,Necaxa,Guadalajara,2/24/2007,16:55,2,4
58,2007_1_C,1,7,Morelia,Toluca,2/24/2007,16:55,2,1
59,2007_1_C,1,7,Atlético San Luis,Chiapas,2/24/2007,16:55,1,0
60,2007_1_C,1,7,Atlas,Atlante,2/24/2007,16:55,1,1
61,2007_1_C,1,7,U.N.A.M.,Cruz Azul,2/25/2007,12:00,0,1
62,2007_1_C,1,7,Estudiantes Tecos,Pachuca,2/25/2007,16:00,3,4
63,2007_1_C,1,7,Club América,Santos Laguna,2/25/2007,16:00,2,0
64,2007_1_C,1,8,Chiapas,U.A.N.L.,3/3/2007,15:00,2,3
65,2007_1_C,1,8,Veracruz,Atlas,3/3/2007,16:55,0,1
66,2007_1_C,1,8,Monterrey,U.N.A.M.,3/3/2007,16:55,0,1
67,2007_1_C,1,8,Guadalajara,Querétaro,3/3/2007,16:55,2,0
68,2007_1_C,1,8,Cruz Azul,Estudiantes Tecos,3/3/2007,16:55,1,0
69,2007_1_C,1,8,Atlante,Necaxa,3/3/2007,16:55,3,0
70,2007_1_C,1,8,Toluca,Atlético San Luis,3/4/2007,12:00,1,1
71,2007_1_C,1,8,Santos Laguna,Morelia,3/4/2007,15:00,2,1
72,2007_1_C,1,8,Pachuca,Club América,3/4/2007,16:55,1,0
73,2007_1_C,1,9,Estudiantes Tecos,Monterrey,3/9/2007,16:55,2,0
74,2007_1_C,1,9,Veracruz,Atlante,3/10/2007,16:55,0,1
75,2007_1_C,1,9,U.A.N.L.,Toluca,3/10/2007,16:55,0,2
76,2007_1_C,1,9,Querétaro,Necaxa,3/10/2007,16:55,2,0
77,2007_1_C,1,9,Morelia,Pachuca,3/10/2007,16:55,0,1
78,2007_1_C,1,9,Atlético San Luis,Santos Laguna,3/10/2007,16:55,2,3
79,2007_1_C,1,9,Atlas,Chiapas,3/10/2007,16:55,0,1
80,2007_1_C,1,9,U.N.A.M.,Guadalajara,3/11/2007,12:00,0,0
81,2007_1_C,1,9,Club América,Cruz Azul,3/11/2007,15:50,0,0
82,2007_1_C,1,10,Chiapas,Veracruz,3/14/2007,15:00,0,2
83,2007_1_C,1,10,Santos Laguna,U.A.N.L.,3/14/2007,16:55,0,1
84,2007_1_C,1,10,Necaxa,U.N.A.M.,3/14/2007,16:55,1,1
85,2007_1_C,1,10,Monterrey,Club América,3/14/2007,16:55,1,0
86,2007_1_C,1,10,Cruz Azul,Morelia,3/14/2007,16:55,3,2
87,2007_1_C,1,10,Atlante,Querétaro,3/14/2007,16:55,3,1
88,2007_1_C,1,11,Chiapas,Atlante,3/17/2007,15:00,2,1
89,2007_1_C,1,11,Veracruz,Toluca,3/17/2007,16:00,0,1
90,2007_1_C,1,11,Atlético San Luis,Cruz Azul,3/17/2007,16:00,2,0
91,2007_1_C,1,11,Morelia,Monterrey,3/17/2007,16:55,1,0
92,2007_1_C,1,11,Atlas,Santos Laguna,3/17/2007,16:55,3,3
93,2007_1_C,1,11,U.N.A.M.,Querétaro,3/18/2007,12:00,3,3
94,2007_1_C,1,11,Estudiantes Tecos,Necaxa,3/18/2007,16:00,2,1
95,2007_1_C,1,11,Club América,Guadalajara,3/18/2007,16:55,1,0
96,2007_1_C,1,10,Pachuca,Atlético San Luis,3/21/2007,16:55,3,0
97,2007_1_C,1,12,Guadalajara,Morelia,3/21/2007,16:55,2,1
98,2007_1_C,1,12,Cruz Azul,U.A.N.L.,3/21/2007,16:55,3,0
99,2007_1_C,1,12,Querétaro,Estudiantes Tecos,3/24/2007,15:00,2,2
100,2007_1_C,1,12,Necaxa,Club América,3/24/2007,16:55,1,2
